distance_to_water,water_overlap,inside_forest,inside_esz,flood_risk,govt_land_overlap,label
276.7156545269726,0.8174905977338316,0,1,0.6433528197622611,0.8354431210558352,HIGH
203.0880741106581,0.08328039559558309,1,0,0.7472544241065072,0.9280538727582377,HIGH
342.81930468189876,0.6518635280445256,0,0,0.34630752371206996,0.5124947272183129,MEDIUM
101.76372330592432,0.8151673793835967,1,1,0.31791293145818045,0.5464290421658295,HIGH
243.4148943897546,0.6447882058240921,1,0,0.6100251550009654,0.020455024743357253,HIGH
485.84990349568477,0.3637378409104657,0,1,0.06535531887743462,0.23321019542294785,HIGH
86.44457554946538,0.9274310787502019,0,1,0.51463091132841,0.18066736467768352,HIGH
304.3255588944772,0.646438526511899,0,0,0.586147536870154,0.020524344126364613,LOW
417.0830154485663,0.24460201272383197,0,0,0.07811383733489308,0.057627480227895655,LOW
6.043121841114607,0.9998476212115577,1,1,0.9118170519816311,0.6488505333521403,HIGH
15.543429172941492,0.9862184859267935,0,0,0.5394188133425278,0.7185395041156015,MEDIUM
65.08981222530896,0.6359863475513935,0,1,0.7334105859432454,0.16773025806890407,HIGH
134.36602462663728,0.7843617868877716,0,0,0.16025918784988824,0.8652783880277016,LOW
353.2422428726133,0.8964407752735267,1,0,0.4026445295146899,0.23821650353258517,HIGH
157.5095377482502,0.2602327321129976,0,0,0.5015084650024045,0.05647092546611343,LOW
52.64500965142016,0.5477404107702069,1,0,0.6318226536098441,0.5432831663338604,HIGH
458.90853967619296,0.9881679785906375,1,0,0.4941471112648437,0.7598533059750228,HIGH
355.88143298163175,0.41077434372538624,0,0,0.3443302007791951,0.8580951625536202,MEDIUM
397.7439467189673,0.6533478221579254,1,0,0.4424982570577839,0.6045762061505081,HIGH
57.58613743028279,0.12263120793080862,0,0,0.5198896307011649,0.20592154976646715,LOW
365.1977259980142,0.47633868545953884,1,0,0.6193647037834684,0.3066355954932808,HIGH
274.20277676624033,0.14601125870582388,1,1,0.07292498488852939,0.37843678206060505,HIGH
167.56510473792147,0.24605882544269075,0,0,0.7411834267031787,0.7070791343851156,LOW
145.21206405678583,0.5759316354879418,0,1,0.4513978482466334,0.25183559671334477,MEDIUM
15.53951685231042,0.23696701956099575,0,1,0.871232545911231,0.6992828877874293,HIGH
454.22875006776485,0.6500606507109605,0,1,0.32650262874362423,0.7345764079083112,HIGH
353.05676062967035,0.41875977977242373,0,1,0.3859273609681031,0.5112800996495375,HIGH
240.13523287422643,0.7665652921834218,1,0,0.7648088678454645,0.7347796340290514,HIGH
374.04638574342306,0.476571512871219,0,0,0.9718060268645853,0.8431451314079264,HIGH
169.1122432044393,0.1368510478264151,0,0,0.3509535296226868,0.7644327925907587,LOW
356.9655537628493,0.45847462232813463,0,1,0.7559464168488915,0.2789457257126806,HIGH
457.1571194952715,0.5637816439840878,1,0,0.8453500902119498,0.8553411460980537,HIGH
435.0805318761031,0.23402239986274764,1,0,0.1894625396263201,0.16257770112660352,LOW
89.31301141343256,0.6657696564798351,1,0,0.39333064219265557,0.8901407237408842,HIGH
229.2333745642448,0.7806668946910049,1,1,0.7062048957413051,0.9421613017991395,HIGH
411.5891941112103,0.5524733953917285,0,1,0.9402088955769701,0.3550476039377466,HIGH
290.1248802437901,0.5035608242645272,1,0,0.2589081518067522,0.535077807141721,HIGH
149.78983069406033,0.4240535903371747,1,0,0.5997668309343959,0.38298350937272463,HIGH
424.1489735969858,0.8449130618198466,1,1,0.4711809883326966,0.2232334025361552,HIGH
